codigo_ibge,anomes_s,formento_qtd_familias_beneficiarias_i,formento_qtd_familias_beneficiarias_acumulado_i
310520,201612,4,49
310660,201612,2,25
310730,201612,2,85
310820,201612,14,20
310850,201612,7,36
310855,201612,10,16
310860,201612,14,95
310880,201612,4,44
310920,201612,3,72
310930,201612,22,22
310940,201612,15,46
310945,201612,8,12
311115,201612,6,21
311230,201612,2,59
311270,201612,1,76
311350,201612,26,42
311370,201612,1,11
311610,201612,1,22
311700,201612,14,30
311810,201612,1,27
311880,201612,84,165
311910,201612,5,35
312015,201612,2,35
312030,201612,7,62
312090,201612,7,13
312245,201612,6,16
312247,201612,2,11
312540,201612,1,20
312560,201612,7,40
312620,201612,6,17
312670,201612,9,161
312680,201612,1,13
312695,201612,1,18
312705,201612,1,19
312733,201612,1,85
312735,201612,2,146
312760,201612,1,21
312780,201612,26,63
312800,201612,1,14
312860,201612,1,10
312960,201612,1,1
313005,201612,25,47
313110,201612,9,21
313200,201612,2,76
313210,201612,1,42
313270,201612,2,52
313280,201612,1,9
313330,201612,11,27
313400,201612,5,22
313510,201612,4,296
313520,201612,1,93
313535,201612,1,85
313545,201612,3,34
313560,201612,6,53
313580,201612,14,80
313600,201612,2,46
313630,201612,13,18
313640,201612,1,18
313650,201612,1,11
313652,201612,2,35
313680,201612,15,82
313730,201612,22,83
313868,201612,7,30
313930,201612,3,140
314060,201612,2,24
314100,201612,1,190
314200,201612,7,57
314225,201612,1,25
314270,201612,1,47
314290,201612,1,378
314315,201612,4,29
314330,201612,6,169
314345,201612,1,36
314370,201612,2,10
314437,201612,6,20
314545,201612,17,66
314630,201612,4,63
314640,201612,3,3
314675,201612,1,9
314700,201612,5,15
314740,201612,1,6
314750,201612,1,8
314850,201612,1,18
314860,201612,1,24
315057,201612,2,55
315213,201612,5,29
315240,201612,3,44
315320,201612,4,18
315660,201612,3,39
315710,201612,4,31
315750,201612,1,9
315760,201612,6,37
315765,201612,1,30
315810,201612,2,40
315820,201612,1,61
316020,201612,2,10
316060,201612,1,10
316105,201612,1,6
316110,201612,20,95
316225,201612,28,70
316240,201612,1,69
316265,201612,7,55
316280,201612,1,27
316420,201612,12,53
316450,201612,1,9
316650,201612,1,23
316710,201612,2,43
316860,201612,6,69
316935,201612,2,15
317000,201612,28,80
317040,201612,23,68
317047,201612,8,9
317052,201612,11,54
317080,201612,3,59
317103,201612,1,162
317160,201612,1,58
320016,201612,3,27
320020,201612,8,12
320030,201612,1,10
320050,201612,3,28
320200,201612,2,21
320210,201612,3,23
320220,201612,1,6
320230,201612,3,24
320255,201612,1,15
320260,201612,1,8
320270,201612,1,21
320290,201612,1,4
320300,201612,3,27
320316,201612,14,22
320320,201612,31,31
320332,201612,1,7
320360,201612,1,6
320370,201612,2,67
320410,201612,7,7
320425,201612,7,7
320440,201612,2,10
320450,201612,3,23
320460,201612,1,17
320503,201612,1,33
350160,201612,12,12
350660,201612,6,6
350920,201612,8,8
351100,201612,29,169
351480,201612,4,4
351780,201612,1,5
352100,201612,9,9
352230,201612,3,20
352300,201612,1,24
354990,201612,13,13
355255,201612,1,38
355410,201612,3,3
355480,201612,16,16
410020,201612,8,68
410045,201612,1,22
410120,201612,2,18
410165,201612,3,18
410305,201612,23,50
410335,201612,12,22
410405,201612,6,22
410420,201612,2,2
410440,201612,5,90
410442,201612,7,106
410490,201612,2,32
410520,201612,3,69
410600,201612,21,36
410680,201612,5,149
410712,201612,1,17
410845,201612,10,32
410855,201612,7,7
410865,201612,12,37
410940,201612,1,1
411007,201612,1,10
411020,201612,11,133
411125,201612,4,49
411220,201612,3,26
411450,201612,1,23
411573,201612,1,45
411721,201612,2,2
411730,201612,8,43
411930,201612,73,195
411940,201612,3,25
411960,201612,18,80
411990,201612,30,42
412030,201612,1,11
412170,201612,11,108
412190,201612,1,50
412217,201612,9,40
412220,201612,2,89
412265,201612,1,1
412385,201612,2,27
412470,201612,12,71
412630,201612,5,89
412667,201612,3,15
412710,201612,1,6
412788,201612,8,47
412796,201612,59,180
412853,201612,3,37
412863,201612,3,89
420010,201612,2,2
420020,201612,1,1
420030,201612,1,1
420040,201612,2,2
420050,201612,2,2
420060,201612,4,4
420070,201612,10,10
420075,201612,1,1
420080,201612,6,6
420100,201612,6,6
420125,201612,4,4
420130,201612,3,5
420140,201612,1,1
420150,201612,1,1
420165,201612,4,4
420180,201612,1,1
420208,201612,1,1
420209,201612,5,5
420215,201612,1,1
420230,201612,31,31
420243,201612,2,2
420253,201612,9,9
420257,201612,3,3
420260,201612,1,1
420280,201612,1,1
420300,201612,5,5
420310,201612,3,3
420315,201612,1,17
420325,201612,3,3
420340,201612,4,4
420350,201612,4,4
420360,201612,8,8
420380,201612,3,3
420390,201612,3,3
420410,201612,3,3
420417,201612,12,12
420430,201612,1,1
420440,201612,2,2
420455,201612,3,4
420475,201612,1,1
420480,201612,4,8
420490,201612,3,3
420500,201612,8,8
420517,201612,1,1
420519,201612,1,1
420535,201612,1,1
420540,201612,4,4
420543,201612,11,11
420550,201612,20,20
420555,201612,16,16
420570,201612,6,6
420620,201612,5,5
420640,201612,4,4
420660,201612,3,3
420665,201612,1,1
420670,201612,3,3
420680,201612,5,5
420720,201612,8,8
420730,201612,1,1
420740,201612,2,2
420765,201612,1,1
420768,201612,4,4
420775,201612,1,1
420780,201612,3,3
420785,201612,4,4
420810,201612,2,12
420840,201612,4,4
420850,201612,5,5
420870,201612,4,4
420895,201612,2,2
420915,201612,1,1
420917,201612,2,2
420930,201612,8,8
420940,201612,2,2
420945,201612,3,3
420970,201612,22,22
420980,201612,10,10
420985,201612,5,5
421005,201612,5,5
421010,201612,1,1
421020,201612,8,8
421030,201612,2,2
421050,201612,1,1
421055,201612,1,1
421060,201612,1,1
421070,201612,2,4
421105,201612,3,3
421110,201612,3,3
421125,201612,2,2
421145,201612,7,7
421150,201612,1,1
421165,201612,3,3
421175,201612,4,4
421185,201612,2,2
421187,201612,1,1
421189,201612,5,5
421190,201612,4,4
421200,201612,3,3
421223,201612,3,5
421340,201612,2,2
421360,201612,7,7
421380,201612,5,5
421410,201612,15,15
421415,201612,6,6
421420,201612,3,3
421440,201612,2,2
421450,201612,4,4
421460,201612,1,1
421505,201612,6,6
421507,201612,14,14
421520,201612,1,1
421530,201612,3,3
421535,201612,4,4
421550,201612,3,5
421567,201612,8,8
421568,201612,2,2
421575,201612,6,6
421580,201612,2,2
421590,201612,3,3
421600,201612,1,1
421610,201612,5,5
421620,201612,3,3
421625,201612,1,1
421640,201612,9,9
421650,201612,1,1
421670,201612,5,5
421680,201612,17,17
421710,201612,1,1
421715,201612,1,1
421720,201612,1,1
421730,201612,2,2
421740,201612,2,2
421755,201612,3,3
421775,201612,2,2
421810,201612,1,1
421825,201612,28,43
421840,201612,4,4
421850,201612,3,3
421870,201612,1,1
421875,201612,3,3
421885,201612,9,9
421890,201612,6,6
421920,201612,6,6
421935,201612,3,3
421960,201612,4,4
421970,201612,2,2
430805,201612,2,63
430830,201612,1,101
430912,201612,2,34
430990,201612,1,20
431050,201612,1,156
431470,201612,1,120
431507,201612,1,17
431720,201612,1,19
431950,201612,1,14
432070,201612,1,23
432218,201612,1,15
500210,201612,11,82
500310,201612,7,17
500370,201612,66,706
500380,201612,4,48
500450,201612,19,295
500490,201612,8,27
500500,201612,3,17
500660,201612,21,104
