codigo_ibge,anomes_s,formento_qtd_familias_beneficiarias_i,formento_qtd_familias_beneficiarias_acumulado_i
410304,202112,17,76
410305,202112,7,91
410310,202112,3,111
410405,202112,11,42
410440,202112,6,131
410445,202112,1,27
410490,202112,14,61
410500,202112,4,32
410520,202112,4,94
410600,202112,16,68
410645,202112,1,1
410655,202112,9,9
410660,202112,5,5
410715,202112,2,27
410850,202112,20,64
410880,202112,21,125
410895,202112,16,16
411020,202112,32,205
411070,202112,13,41
411080,202112,10,35
411290,202112,4,50
411345,202112,11,48
411430,202112,8,30
411435,202112,6,6
411510,202112,4,4
411540,202112,13,23
411680,202112,10,37
411727,202112,10,36
411730,202112,7,50
411940,202112,7,55
411960,202112,6,86
412100,202112,2,20
412190,202112,11,80
412250,202112,13,58
412310,202112,5,23
412402,202112,1,16
412440,202112,7,7
412470,202112,12,105
412510,202112,18,18
412667,202112,13,60
412740,202112,1,61
412780,202112,7,16
412785,202112,7,20
412863,202112,1,127
420020,202112,3,5
420050,202112,2,5
420075,202112,1,3
420120,202112,2,2
420208,202112,4,7
420253,202112,1,11
420285,202112,2,2
420325,202112,3,10
420340,202112,2,9
420360,202112,1,12
420417,202112,2,15
420420,202112,9,30
420500,202112,3,21
420510,202112,2,2
420517,202112,2,47
420550,202112,2,31
420768,202112,23,155
420900,202112,1,1
420915,202112,3,4
420930,202112,1,16
420950,202112,1,1
420970,202112,4,34
420990,202112,2,2
421200,202112,3,12
421227,202112,1,69
421230,202112,3,17
421250,202112,4,4
421360,202112,1,11
421400,202112,3,3
421507,202112,2,40
421555,202112,1,1
421650,202112,2,3
421670,202112,3,9
421680,202112,1,38
421920,202112,4,10
430003,202112,1,14
430040,202112,6,15
430063,202112,3,87
430160,202112,2,9
430175,202112,2,95
430190,202112,5,76
430245,202112,1,126
430280,202112,5,76
430350,202112,39,152
430450,202112,11,422
430512,202112,3,67
430530,202112,2,31
430535,202112,4,11
430537,202112,54,303
430605,202112,9,16
430607,202112,2,133
430650,202112,39,141
430660,202112,8,8
430676,202112,1,8
430697,202112,19,53
430700,202112,1,1
430710,202112,36,140
430730,202112,1,203
430830,202112,1,174
430850,202112,1,60
430920,202112,1,5
430930,202112,8,19
430965,202112,9,9
431055,202112,3,41
431085,202112,5,129
431173,202112,11,40
431175,202112,10,11
431177,202112,6,46
431245,202112,31,61
431250,202112,8,103
431270,202112,30,227
431344,202112,26,92
431365,202112,7,101
431370,202112,10,30
431417,202112,12,88
431440,202112,7,198
431450,202112,10,33
431460,202112,28,146
431470,202112,2,231
431480,202112,6,31
431555,202112,2,68
431560,202112,13,74
431590,202112,2,47
431610,202112,3,196
431640,202112,5,16
431697,202112,13,13
431700,202112,1,139
431710,202112,45,78
431730,202112,1,52
431800,202112,6,73
431830,202112,13,42
431840,202112,49,143
431845,202112,1,71
431920,202112,2,26
431936,202112,31,81
432010,202112,1,21
432035,202112,22,62
432090,202112,1,1
432120,202112,28,76
432132,202112,6,49
432185,202112,4,131
432195,202112,3,98
432300,202112,44,109
510035,202112,15,15
510250,202112,4,4
510310,202112,2,2
510325,202112,10,10
510335,202112,39,39
510336,202112,1,1
510340,202112,16,16
510385,202112,19,19
510410,202112,1,1
510562,202112,2,2
510677,202112,13,13
510685,202112,1,1
510790,202112,5,5
510795,202112,4,4
510840,202112,4,4
520010,202112,18,18
520025,202112,24,24
520030,202112,28,28
520060,202112,29,29
520080,202112,14,14
520396,202112,23,23
520400,202112,24,24
520470,202112,9,9
520490,202112,27,27
520530,202112,39,39
520549,202112,25,25
520552,202112,2,2
520580,202112,1,1
520670,202112,19,19
520753,202112,19,19
520790,202112,71,71
520800,202112,61,61
520830,202112,19,19
520860,202112,8,8
520890,202112,18,18
520929,202112,20,20
520940,202112,22,22
520960,202112,20,20
520990,202112,23,23
521120,202112,20,20
521250,202112,1,1
521270,202112,20,20
521295,202112,19,19
521305,202112,22,22
521350,202112,22,23
521410,202112,7,7
521490,202112,10,10
521523,202112,6,6
521760,202112,23,62
521830,202112,28,28
521970,202112,1,1
521975,202112,28,28
521980,202112,30,30
522000,202112,20,20
522068,202112,16,16
522070,202112,10,10
522108,202112,16,16
522185,202112,1,1
522220,202112,10,10
522230,202112,14,14
530010,202112,2,722
